Date,Open,High,Low,Close,Volume,SMA_20,SMA_50,EMA_20,RSI,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Lower,BB_Width,ATR
2025-12-12,25971.19921875,26057.599609375,25938.44921875,26046.94921875,216300,26031.1201171875,25745.909140625,25960.783613298518,52.815769415564645,46.65373728905979,84.15442066708293,-37.50068337802314,26300.35001468285,25761.89021969215,2.068523338859971,206.0107421875
2025-12-15,25930.05078125,26047.150390625,25904.75,26027.30078125,181600,26031.8126953125,25769.729140625,25967.118581674848,54.75698682439834,47.21560067621249,76.76665666890884,-29.551055992696348,26300.922431288724,25762.702959336275,2.067545115862657,203.67508370535714
2025-12-16,25951.5,25980.75,25834.349609375,25860.099609375,264400,26029.31513671875,25789.0461328125,25956.92629859867,37.16245171655895,33.779752289494354,68.16927579302595,-34.38952350353159,26304.051336189827,25754.578937247672,2.1109752448577908,190.87151227678572
2025-12-17,25902.400390625,25929.150390625,25770.349609375,25818.55078125,206500,26017.61015625,25803.864140625,25943.7476778988,35.57199804658664,19.553699574378697,58.4461605492965,-38.8924609749178,26307.67978483485,25727.54052766515,2.229794564856825,190.17522321428572
2025-12-18,25764.69921875,25902.349609375,25726.30078125,25815.55078125,197600,25998.78017578125,25818.009140625,25931.538449646534,35.821996534627985,7.945781355138024,48.34608471046481,-40.400303355326784,26290.03487860322,25707.525472959278,2.2405259081599858,195.01088169642858
2025-12-19,25911.5,25993.349609375,25880.44921875,25966.400390625,382900,25993.69267578125,25836.414140625,25934.858634501623,42.97411775810466,10.794295391566266,40.835726846685105,-30.04143145511884,26283.39588316676,25703.989468395743,2.2290269489523453,193.31068638392858
2025-12-22,26055.849609375,26180.69921875,26047.80078125,26172.400390625,253000,26004.3376953125,25856.2261328125,25957.481658894325,54.5159321820641,29.33607367775403,38.53579621289889,-9.199722535144858,26304.217929022056,25704.457461602946,2.306386243888925,195.91057477678572
2025-12-23,26205.19921875,26233.55078125,26119.05078125,26177.150390625,216600,26018.95517578125,25874.0621484375,25978.402490487722,56.325940174752084,43.9077110965336,39.61017918962583,4.297531906907771,26322.77661687992,25715.133734682582,2.3353854068780584,191.55705915178572
2025-12-24,26170.650390625,26236.400390625,26123.0,26142.099609375,188800,26015.7951171875,25892.3571484375,25993.99269228651,53.616122004925366,52.02778964575555,42.093701280851775,9.934088364903772,26312.69156228502,25718.898672089977,2.2824322205810677,188.27845982142858
2025-12-26,26121.25,26144.19921875,26008.599609375,26042.30078125,142200,26007.1326171875,25910.2931640625,25998.593462663983,45.01301411145917,49.835605186937755,43.64208206206897,6.193523124868783,26289.230049985086,25725.035184389915,2.169385121765819,182.4462890625
2025-12-29,26063.349609375,26106.80078125,25920.30078125,25942.099609375,234300,25994.09013671875,25922.664140625,25993.21309568408,49.30085300817485,39.55689874983727,42.82504539962264,-3.268146649785365,26261.82256099002,25726.357712447483,2.059948417991164,174.75348772321428
2025-12-30,25940.900390625,25976.75,25878.0,25938.849609375,396900,25982.2451171875,25929.7351171875,25988.035620797502,54.12677209882802,30.793731042707805,40.418782528239674,-9.62505148553187,26236.773871621117,25727.716362753883,1.9592514294713033,165.1962890625
2025-12-31,25971.05078125,26187.94921875,25969.0,26129.599609375,246300,25987.11513671875,25938.1301171875,26001.517905423927,64.17239370648852,38.79359986427153,40.09374599544605,-1.3001461311745217,26249.280935909173,25724.949337528324,2.017659888842337,167.76771763392858
2026-01-01,26173.30078125,26197.55078125,26113.400390625,26146.55078125,425600,25995.14267578125,25944.198125,26015.330560264505,60.44299841433807,45.971441285844776,41.2692850535258,4.702156232318977,26266.824168209685,25723.461183352818,2.0902481345605346,157.38197544642858
