Date,Close,High,Low,Open,Volume,SMA_20,SMA_50,EMA_12,EMA_26,RSI,MACD,Signal_Line,MACD_Histogram,BB_Middle,BB_Std,BB_Upper,BB_Lower
2025-10-31,25722.099609375,25953.75,25711.19921875,25863.80078125,334400,,,25759.1050824534,25572.90245556845,63.37873961666312,186.20262688495131,164.38903987888358,21.813587006067735,,,,
2025-11-03,25763.349609375,25803.099609375,25645.5,25696.849609375,23300,,,25759.758086595182,25587.00965214671,66.58925112859039,172.74843444847284,166.06091879280143,6.687515655671405,,,,
2025-11-04,25597.650390625,25787.400390625,25578.400390625,25744.75,305100,,,25734.81844106131,25587.797854996956,63.303600059305644,147.02058606435457,162.25285224711206,-15.232266182757485,,,,
2025-11-06,25509.69921875,25679.150390625,25491.55078125,25593.349609375,371900,,,25700.184714551877,25582.012770830515,55.783687607562705,118.17194372136146,153.43667054196194,-35.26472682060049,,,,
2025-11-07,25492.30078125,25551.25,25318.44921875,25433.80078125,305600,25638.805078125,,25668.202570966972,25575.367438268993,46.593162857919665,92.83513269797913,141.31636297316538,-48.48123027518625,25638.805078125,283.1950767484483,26205.195231621896,25072.4149246281
2025-11-10,25574.349609375,25653.44921875,25503.5,25503.5,243600,25658.43251953125,,25653.763653798975,25575.292043536105,44.876748342121196,78.47161026286994,128.7474124311063,-50.27580216823637,25658.43251953125,262.717221337945,26183.86696220714,25132.998076855358
2025-11-11,25694.94921875,25715.80078125,25449.25,25617.0,297700,25678.9125,,25660.09989456067,25584.155537996394,44.342176098734356,75.94435656427595,118.18680125774026,-42.24244469346431,25678.9125,247.6351782715702,26174.18285654314,25183.64214345686
2025-11-12,25875.80078125,25934.55078125,25781.150390625,25834.30078125,312600,25711.33505859375,,25693.28464635903,25605.75888934851,50.245756419195,87.52575701051683,112.05459240829558,-24.52883539777875,25711.33505859375,226.99083610333457,26165.31673080042,25257.353386387083
2025-11-13,25879.150390625,26010.69921875,25808.400390625,25906.099609375,385200,25748.017578125,,25721.879376246103,25626.010111665288,49.57631583924861,95.86926458081507,108.81752684279948,-12.94826226198441,25748.017578125,186.38563322354375,26120.78884457209,25375.24631167791
2025-11-14,25910.05078125,25940.19921875,25740.80078125,25767.900390625,518900,25777.342578125,,25750.82882316978,25647.050161264153,54.16214457030061,103.77866190562781,107.80975385536516,-4.031091949737345,25777.342578125,160.41657381499863,26098.175725754998,25456.509430495003
2025-11-17,26013.44921875,26024.19921875,25906.349609375,25948.19921875,281800,25798.75,,25791.23196095135,25674.19083218903,51.80524106082832,117.04112876232102,109.65602883675633,7.385099925564688,25798.75,162.0001308819936,26122.750261763988,25474.749738236012
2025-11-18,25910.05078125,26029.849609375,25876.5,26021.80078125,280000,25808.76005859375,,25809.511779458837,25691.66193952688,49.05693072794128,117.84983993195783,111.29479105579665,6.55504887616118,25808.76005859375,162.40258046667412,26133.5652195271,25483.954897660402
2025-11-19,26052.650390625,26074.650390625,25856.19921875,25918.099609375,250100,25819.23505859375,,25846.917719638244,25718.401824793404,49.95571289778814,128.51589484484066,114.73901181360546,13.7768830312352,25819.23505859375,171.25276045774436,26161.740579509238,25476.72953767826
2025-11-20,26192.150390625,26246.650390625,26063.19921875,26132.099609375,240400,25835.41259765625,,25900.03043825159,25753.494311151302,61.43165246844471,146.53612710028756,121.09843487094187,25.437692229345686,25835.41259765625,190.37599665030305,26216.164590956858,25454.660604355642
2025-11-21,26068.150390625,26179.19921875,26052.19921875,26109.55078125,235600,25844.25009765625,,25925.895046309037,25776.802168890095,62.88402357225548,149.0928774189415,126.6973233805418,22.395554038399695,25844.25009765625,197.0957022550457,26238.441502166344,25450.05869314616
2025-11-24,25959.5,26142.80078125,25912.150390625,26122.80078125,464700,25852.467578125,,25931.06503918457,25790.335341564904,56.95398263668177,140.7296976196667,129.5037982283668,11.22589939129989,25852.467578125,198.3628812045168,26249.193340534035,25455.741815715966
2025-11-25,25884.80078125,26032.599609375,25857.5,25998.5,260500,25848.405078125,,25923.94746104079,25797.33278154158,60.882302869704894,126.61467949920916,128.92597448253528,-2.311294983326121,25848.405078125,196.73961338498248,26241.884304894964,25454.925851355038
2025-11-26,26205.30078125,26215.150390625,25842.94921875,25842.94921875,275300,25861.86015625,,25967.23258722682,25827.552633371834,72.41136715456159,139.6799538549858,131.0767703570254,8.603183497960401,25861.86015625,211.69354504449228,26285.247246338986,25438.473066161016
2025-11-27,26215.55078125,26310.44921875,26141.900390625,26261.25,240300,25869.94267578125,,26005.43538630731,25856.293236918365,73.40999608046428,149.14214938894293,134.6898461634089,14.452303225534024,25869.94267578125,222.2350637229834,26314.412803227217,25425.472548335285
2025-11-28,26202.94921875,26280.75,26172.400390625,26237.44921875,202500,25886.19765625,,26035.82212976003,25881.97145779478,71.30414521422435,153.85067196524687,138.5220113237765,15.328660641470378,25886.19765625,234.4002871463534,26354.998230542704,25417.397081957293
2025-12-01,26175.75,26325.80078125,26124.19921875,26325.80078125,213800,25908.88017578125,,26057.34949441233,25903.732831291465,67.39638631185586,153.61666312086527,141.54094168319426,12.075721437671007,25908.88017578125,239.57735313944931,26388.03488206015,25429.72546950235
2025-12-02,26032.19921875,26154.599609375,25997.849609375,26087.94921875,254800,25922.32265625,,26053.48022123351,25913.248859992098,55.815808051316466,140.23136124141092,141.2790255948376,-1.0476643534266827,25922.32265625,238.52212625886327,26399.366908767726,25445.27840373227
2025-12-03,25986.0,26066.44921875,25891.0,26004.900390625,265700,25941.74013671875,,26043.09864873605,25918.637833326015,53.85058272203476,124.46081541003514,137.91538355787713,-13.454568147841997,25941.74013671875,226.18870122460865,26394.117539167964,25489.362734269533
2025-12-04,26033.75,26098.25,25938.94921875,25981.849609375,248100,25967.94267578125,,26041.66039508435,25927.16466048705,54.40431154381085,114.495734597298,133.23145376576133,-18.735719168463334,25967.94267578125,202.6327039831774,26373.208083747606,25562.677267814895
