Date,Close,High,Low,Open,Volume,SMA_20,SMA_50,EMA_12,EMA_26,RSI,MACD,Signal_Line,MACD_Histogram,BB_Middle,BB_Std,BB_Upper,BB_Lower
2025-11-26,90518.3671875,90581.15625,86316.8984375,87345.5859375,66496301869,,,90518.3671875,90518.3671875,,0.0,0.0,0.0,,,,
2025-11-27,91285.375,91897.578125,90089.515625,90517.765625,57040622845,,,90636.36838942308,90575.18258101853,,61.18580840455252,12.237161680910503,48.948646723642014,,,,
2025-11-28,90919.265625,92969.0859375,90257.1171875,91285.3828125,60895830289,,,90679.8910410503,90600.67021390605,,79.2208271442505,25.633894773578504,53.586932370672,,,,
2025-11-29,90851.7578125,91187.6171875,90260.1875,90918.7421875,37921773455,,,90706.3320828118,90619.26929528337,,87.06278752842627,37.91967332454806,49.14311420387821,,,,
2025-11-30,90394.3125,91965.046875,90394.3125,90838.2109375,38497902869,,,90658.32907007153,90602.60582896609,,55.72324110544287,41.480386880727025,14.242854224715842,,,,
2025-12-01,86321.5703125,90398.15625,83862.25,90389.109375,87962894424,,,89991.13541506053,90285.49208700564,,-294.3566719451046,-25.687024884439303,-268.6696470606653,,,,
2025-12-02,91350.203125,92316.6328125,86202.1953125,86322.5390625,78546798211,,,90200.22275505122,90364.35957130152,,-164.13681625030586,-53.37698315761262,-110.75983309269324,,,,
2025-12-03,93527.8046875,94060.7734375,91056.390625,91345.09375,77650204986,,,90712.15843696642,90598.68883916807,,113.46959779835015,-20.007666966420064,133.4772647647702,,,,
2025-12-04,92141.625,94038.2421875,90976.1015625,93454.2578125,64538402681,,,90932.07636974083,90712.9804066371,,219.0959631037258,27.813059047609112,191.2829040561167,,,,
2025-12-05,89387.7578125,92702.640625,88152.140625,92133.6484375,63256398633,,,90694.48889939608,90614.81577003436,,79.67312936171948,38.18507311043118,41.48805625128829,,,,
2025-12-06,89272.375,90267.4609375,88951.6640625,89389.359375,37994042405,,,90475.70214564283,90515.37571299478,,-39.67356735194335,22.61334501795628,-62.286912369899625,,,,
2025-12-07,90405.640625,91740.84375,87799.5625,89277.8125,47394898960,,,90464.92345015932,90507.24718795813,,-42.323737798811635,9.625928454602699,-51.949666253414335,,,,
2025-12-08,90640.203125,92267.1171875,89644.890625,90424.5859375,57394099056,,,90491.88955398096,90517.09577588715,,-25.206221906191786,2.659498382443802,-27.865720288635586,,,,
2025-12-09,92691.7109375,94601.5703125,89586.9765625,90639.703125,66861721440,,,90830.32361298389,90678.17838045106,55.27208305916814,152.14523253282823,32.55664521252069,119.58858732030754,,,,
2025-12-10,92020.9453125,94477.15625,91640.1328125,92695.234375,65420694513,,,91013.49618214022,90777.64259763986,53.53006603846309,235.85358450036438,73.21603307008942,162.63755143027495,,,,
2025-12-11,92511.3359375,93554.265625,89335.296875,92011.3046875,64532834621,,,91243.93306758019,90906.06432651839,52.918126290788734,337.8687410618004,126.14657466843163,211.72216639336875,,,,
2025-12-12,90270.4140625,92747.9296875,89532.6015625,92513.6640625,80275884583,,,91094.16091295247,90858.97912177628,48.58210308258947,235.18179117619002,147.9536179699833,87.22817320620672,,,,
2025-12-13,90298.7109375,90647.5703125,89800.9921875,90257.796875,64237748110,,,90971.78399365209,90817.47777479286,48.78938475640623,154.30621885923028,149.2241381478327,5.0820807113975945,,,,
