Date,Open,High,Low,Close,Volume,SMA_20,SMA_50,EMA_12,EMA_26,RSI,MACD,MACD_Sig,MACD_Hist,BB_Upper,BB_Mid,BB_Lower,BB_Pct,ATR,StochRSI,Vol_Ratio
2025-12-12,25971.19921875,26057.599609375,25938.44921875,26046.94921875,216300,26031.1201171875,25745.909140625,25976.936094878354,25930.282357589294,52.815769415564645,46.65373728905979,84.15442066708293,-37.50068337802314,26300.35001468285,26031.1201171875,25761.89021969215,52.939699808557386,206.0107421875,23.05284990240759,0.8335420721015819
2025-12-15,25930.05078125,26047.150390625,25904.75,26027.30078125,181600,26031.8126953125,25769.729140625,25984.6845081663,25937.46890749009,54.75698682439834,47.21560067621249,76.76665666890884,-29.551055992696348,26300.922431288724,26031.8126953125,25762.702959336275,49.16169624147342,203.67508370535714,39.98723357921539,0.7135980509656757
2025-12-16,25951.5,25980.75,25834.349609375,25860.099609375,264400,26029.31513671875,25789.0461328125,25965.517600659947,25931.737848370452,37.16245171655895,33.779752289494354,68.16927579302595,-34.38952350353159,26304.051336189827,26029.31513671875,25754.578937247672,19.203998659528054,190.87151227678572,33.62813022679186,1.0421552590607202
2025-12-17,25902.400390625,25929.150390625,25770.349609375,25818.55078125,206500,26017.61015625,25803.864140625,25942.907320750724,25923.353621176346,35.57199804658664,19.553699574378697,58.4461605492965,-38.8924609749178,26307.67978483485,26017.61015625,25727.54052766515,15.687656448015069,190.17522321428572,18.472107496129226,0.8209919491104264
2025-12-18,25764.69921875,25902.349609375,25726.30078125,25815.55078125,197600,25998.78017578125,25818.009140625,25923.31400698138,25915.368225626244,35.821996534627985,7.945781355138024,48.34608471046481,-40.400303355326784,26290.03487860322,25998.78017578125,25707.525472959278,18.544817859430836,195.01088169642858,1.8794525793321082,0.7923491789802916
2025-12-19,25911.5,25993.349609375,25880.44921875,25966.400390625,382900,25993.69267578125,25836.414140625,25929.94268138809,25919.148385996523,42.97411775810466,10.794295391566266,40.835726846685105,-30.04143145511884,26283.39588316676,25993.69267578125,25703.989468395743,45.28961287613,193.31068638392858,12.600979202915509,1.491333982473223
2025-12-22,26055.849609375,26180.69921875,26047.80078125,26172.400390625,253000,26004.3376953125,25856.2261328125,25967.243867424535,25937.90779374678,54.5159321820641,29.33607367775403,38.53579621289889,-9.199722535144858,26304.217929022056,26004.3376953125,25704.457461602946,78.0216360434203,195.91057477678572,43.52450733799011,1.027765929356326
2025-12-23,26205.19921875,26233.55078125,26119.05078125,26177.150390625,216600,26018.95517578125,25874.0621484375,25999.537178686143,25955.62946758961,56.325940174752084,43.9077110965336,39.61017918962583,4.297531906907771,26322.77661687992,26018.95517578125,25715.133734682582,76.0342414070067,191.55705915178572,76.51611191131275,0.8878140755010862
2025-12-24,26170.650390625,26236.400390625,26123.0,26142.099609375,188800,26015.7951171875,25892.3571484375,26021.46986033058,25969.442070684825,53.616122004925366,52.02778964575555,42.093701280851775,9.934088364903772,26312.69156228502,26015.7951171875,25718.898672089977,71.27079900636961,188.27845982142858,93.32572194769529,0.787832001502222
2025-12-26,26121.25,26144.19921875,26008.599609375,26042.30078125,142200,26007.1326171875,25910.2931640625,26024.674617395107,25974.83901220817,45.01301411145917,49.835605186937755,43.64208206206897,6.193523124868783,26289.230049985086,26007.1326171875,25725.035184389915,56.233336424534855,182.4462890625,77.56108833059837,0.6057766039021897
2025-12-29,26063.349609375,26106.80078125,25920.30078125,25942.099609375,234300,25994.09013671875,25922.664140625,26011.9707700074,25972.413871257562,49.30085300817485,39.55689874983727,42.82504539962264,-3.268146649785365,26261.82256099002,25994.09013671875,25726.357712447483,40.29058070099987,174.75348772321428,66.31968595028808,0.9914103160834427
2025-12-30,25940.900390625,25976.75,25878.0,25938.849609375,396900,25982.2451171875,25929.7351171875,26000.721360679338,25969.92762963663,54.12677209882802,30.793731042707805,40.418782528239674,-9.62505148553187,26236.773871621117,25982.2451171875,25727.716362753883,41.475323110533296,165.1962890625,67.13681790110768,1.6167993971118397
2025-12-31,25971.05078125,26187.94921875,25969.0,26129.599609375,246300,25987.11513671875,25938.1301171875,26020.548783555594,25981.755183691323,64.17239370648852,38.79359986427153,40.09374599544605,-1.3001461311745217,26249.280935909173,25987.11513671875,25724.949337528324,77.17449665369155,167.76771763392858,85.23953334942526,1.00505998530972
2026-01-01,26173.30078125,26197.55078125,26113.400390625,26146.55078125,425600,25995.14267578125,25944.198125,26039.93370627781,25993.962264991966,60.44299841433807,45.971441285844776,41.2692850535258,4.702156232318977,26266.824168209685,25995.14267578125,25723.461183352818,77.86500179224252,157.38197544642858,92.13438130149372,1.681847819643951
2026-01-02,26155.099609375,26340.0,26118.400390625,26328.55078125,357500,26009.88271484375,25953.3971484375,26084.336333196607,26018.746599529597,61.53159551597052,65.58973366700957,46.13337477622255,19.456358890787016,26319.696418657506,26009.88271484375,25700.06901102999,101.42898175314686,161.84988839285714,92.57563478209785,1.3828449859781453
2026-01-05,26333.69921875,26373.19921875,26210.05078125,26250.30078125,338800,26013.07529296875,25960.57515625,26109.86932520482,26035.898761138516,58.71364987880749,73.97056406630509,51.70081263423906,22.26975143206603,26331.73954057526,26013.07529296875,25694.41104536224,87.22185498734976,163.33189174107142,86.21355050350603,1.288212927756654
2026-01-06,26189.69921875,26273.94921875,26124.75,26178.69921875,383000,26023.98271484375,25968.2461328125,26120.458539596388,26046.47657281344,63.45435320161859,73.98196678294698,56.15704346398065,17.824923318966334,26349.927757437115,26023.98271484375,25698.037672250386,73.73352616061523,160.20675223214286,89.7232394638613,1.4392274016872404
2026-01-07,26143.099609375,26187.150390625,26067.900390625,26140.75,338200,26039.0376953125,25971.7401171875,26123.580302735405,26053.459789642075,63.64785576951715,70.12051309333037,58.9497373898506,11.170775703479777,26356.847289301943,26039.0376953125,25721.22810132306,66.00208216037649,157.38169642857142,92.1843182270511,1.256198347107438
2026-01-08,26106.5,26133.19921875,25858.44921875,25876.849609375,328500,26044.98017578125,25970.553125,26085.62173452611,26040.377554066734,52.12650773022996,45.244180459376366,56.208626003755754,-10.964445544379387,26344.587105362345,26044.98017578125,25745.373246200154,21.941475679263164,164.97112165178572,79.60478982357175,1.1934388112840821
2026-01-09,25840.400390625,25940.599609375,25623.0,25683.30078125,348800,26034.21767578125,25963.1411328125,26023.726203252863,26013.927422746976,40.46161601139234,9.798780505887407,46.92665690418209,-37.12787639829468,26369.332509806376,26034.21767578125,25699.10284175612,-2.357708299020894,174.95689174107142,47.108321958124975,1.2351712171110876
2026-01-12,25669.05078125,25813.150390625,25473.400390625,25790.25,275800,26021.38271484375,25961.389140625,25987.80678736781,25997.35872476572,36.20347062100283,-9.551937397911388,35.63093804376339,-45.18287544167478,26373.667791425927,26021.38271484375,25669.09763826157,17.195216288159806,183.91768973214286,14.391720651262156,0.9664815236626776
2026-01-13,25897.349609375,25899.80078125,25603.30078125,25732.30078125,339500,26006.63271484375,25961.5931640625,25948.49817104199,25977.724803023815,34.533967647789794,-29.22663198182636,22.659424038645444,-51.8860560204718,26381.83224714546,26006.63271484375,25631.433182542038,13.44186093319157,196.91768973214286,0.0,1.1576757825820092
2026-01-14,25648.55078125,25791.75,25603.94921875,25665.599609375,393100,25996.90771484375,25959.6381640625,25904.975315400912,25954.604418309085,33.79032022303193,-49.62910290817308,8.201718649281737,-57.83082155745482,26397.3337743734,25996.90771484375,25596.4816553141,8.6305514358991,202.23200334821428,0.0,1.3116668613089975
2026-01-16,25696.05078125,25873.5,25662.400390625,25694.349609375,434000,25990.69765625,25961.5721484375,25872.571360627695,25935.326284313967,37.56208450334492,-62.75492368627238,-5.989609817829086,-56.76531386844329,26406.333834031462,25990.69765625,25575.061478468535,14.35006590898655,207.62486049107142,4.138146663324082,1.3951843636480534
2026-01-19,25653.099609375,25653.30078125,25494.349609375,25585.5,443100,25979.1951171875,25963.0881640625,25828.406535915743,25909.41322621664,37.331266505594726,-81.00669030089557,-20.993025914442384,-60.013664386453186,26426.747842230634,25979.1951171875,25531.642392144367,6.016900897033076,208.58914620535714,8.023054084681052,1.370362925049096
2026-01-20,25580.30078125,25585.0,25171.349609375,25232.5,409800,25942.50009765625,25957.8921484375,25736.728607313322,25859.271505756147,29.900707044097715,-122.54289844282539,-41.30300042011899,-81.2398980227064,26501.05099565838,25942.50009765625,25383.949199654122,-13.557332035078431,231.11774553571428,8.023054084681052,1.262126951861776
2026-01-21,25141.0,25300.94921875,24919.80078125,25157.5,395600,25891.755078125,25949.55515625,25647.616513880504,25807.288431255693,20.38810228975116,-159.67191737518806,-64.9767838111328,-94.69513356405525,26539.62943572171,25891.755078125,25243.88072052829,-6.6664716326109525,240.5498046875,3.884907421356965,1.192212645410162
2026-01-22,25344.150390625,25435.75,25168.5,25289.900390625,486400,25847.392578125,25941.4541796875,25592.58326414889,25768.963391208974,25.61970056931186,-176.38012706008521,-87.25745246092329,-89.12267459916193,26533.370723041968,25847.392578125,25161.414433208032,9.365164063099995,254.4140625,4.031151250093372,1.4085893834525498
2026-01-23,25344.599609375,25347.94921875,25025.30078125,25048.650390625,393900,25792.7201171875,25924.911171875,25508.901283606752,25715.606872647197,14.762384617618252,-206.70558904044447,-111.14707977682752,-95.55850926361694,26550.354088083954,25792.7201171875,25035.086146291043,0.8951713396580525,261.6318359375,4.031151250093372,1.1078143236820273
2026-01-27,25063.349609375,25246.650390625,24932.55078125,25175.400390625,618700,25749.37509765625,25910.836171875,25457.593453917252,25675.591577682593,21.17610705213815,-217.998123765341,-132.51728857453023,-85.48083519081078,26545.121841735265,25749.37509765625,24953.628353577238,13.934837855003595,272.4140625,8.404449548743921,1.6307757189172092
2026-01-28,25258.849609375,25372.099609375,25187.650390625,25342.75,574900,25719.4076171875,25899.49015625,25439.925230237677,25650.936646002403,28.67854673417702,-211.01141576472583,-148.21611401256936,-62.79530175215646,26529.605957855096,25719.4076171875,24909.2092765199,26.755221636399824,275.80691964285717,13.862254007200368,1.4502295545128903
2026-01-29,25345.0,25458.150390625,25159.80078125,25418.900390625,582400,25693.41015625,25887.5991796875,25436.69063952803,25633.748775233707,31.940656159693987,-197.05813570567625,-157.98451835119076,-39.07361735448549,26507.320000484626,25693.41015625,24879.500312015374,33.13635302672006,288.59974888392856,29.18735744069293,1.4355611974512874
2026-01-30,25247.55078125,25370.69921875,25213.650390625,25320.650390625,508400,25652.9626953125,25875.811171875,25418.83829354295,25610.55630229973,34.82733119930438,-191.71800875677945,-164.73121643230849,-26.98679232447097,26455.931204362736,25652.9626953125,24849.994186262265,29.30726417399822,283.0961216517857,50.839411514444556,1.2139446036294175
2026-02-02,24796.5,25108.099609375,24679.400390625,25088.400390625,449200,25600.05517578125,25856.526171875,25368.001693094036,25571.878086620123,34.10716726897425,-203.87639352608676,-172.56025185106415,-31.316141675022607,26405.525918931315,25600.05517578125,24794.584432631185,18.238772822756317,306.21400669642856,69.63267406361025,1.0695747416543644
2026-02-03,26308.05078125,26341.19921875,25641.30078125,25727.55078125,637300,25570.00517578125,25847.2341796875,25423.316937425723,25583.409397333446,48.69583163382209,-160.0924599077225,-170.06669346239585,9.974233554673333,26302.586630646958,25570.00517578125,24837.423720915544,60.75277052281031,371.43178013392856,87.64090396345102,1.468534691338111
2026-02-04,25675.05078125,25818.55078125,25563.94921875,25776.0,429800,25546.29013671875,25841.391171875,25477.575870129458,25597.675367901338,50.912567441238224,-120.09949777188012,-160.07325432429272,39.973756552412596,26213.979433873716,25546.29013671875,24878.600839563787,67.20185303703731,368.4390345982143,94.94888492438218,0.9801149320441485
2026-02-05,25755.900390625,25757.650390625,25579.5,25642.80078125,343800,25519.49521484375,25835.0571875,25502.995087224925,25601.01799111235,49.53675961105745,-98.02290388742404,-147.663184236919,49.64028034949496,26119.95231072973,25519.49521484375,24919.038118957775,60.267641705883314,369.06040736607144,98.7313961528277,0.7875206157229246
2026-02-06,25605.80078125,25703.94921875,25491.900390625,25693.69921875,375500,25497.14267578125,25831.23515625,25532.33418438263,25607.883267233658,49.9869028506162,-75.54908285102647,-133.24036395974048,57.69128110871401,26029.66462904175,25497.14267578125,24964.620722520754,68.45525257365284,369.12820870535717,97.87786004473624,0.8564748816787364
2026-02-09,25888.69921875,25922.25,25780.900390625,25867.30078125,359400,25496.665234375,25824.47515625,25583.86750697761,25627.099379383017,55.53049549915595,-43.23187240540574,-115.23866564887354,72.0067932434678,26027.769021330925,25496.665234375,24965.561447419073,84.89294898454172,371.1675502232143,97.87786004473624,0.816873877764393
2026-02-10,25922.650390625,25989.44921875,25870.44921875,25935.150390625,460900,25509.25771484375,25818.8671484375,25637.911027538747,25649.91797280835,65.52785031400393,-12.00694526960433,-94.5923215730197,82.58537630341537,26070.103570028863,25509.25771484375,24948.411859658634,87.96878160405412,350.31026785714283,99.14646389190852,1.034393760870785
2026-02-11,25997.44921875,26009.400390625,25899.80078125,25953.849609375,331400,25517.4376953125,25813.88515625,25686.516963205864,25672.431427368843,68.04759919227973,14.08553583702087,-72.85675009101159,86.94228592803246,26099.895354912736,25517.4376953125,24934.980035712262,87.46297321954928,330.91392299107144,100.0,0.7391464353023831
2026-02-12,25906.69921875,25906.69921875,25752.400390625,25807.19921875,419400,25521.1826171875,25806.514140625,25705.083464058807,25682.41422673041,61.64826127302873,22.669237328398594,-53.751552607129554,76.42078993552815,26110.381091619623,25521.1826171875,24931.984142755377,74.27166854413245,325.4281529017857,95.99680200825412,0.927158173980325
2026-02-13,25571.150390625,25630.349609375,25444.30078125,25471.099609375,453500,25511.4576171875,25795.2921484375,25669.08594795361,25666.76129211149,59.12280316974536,2.3246558421196823,-42.53631091727971,44.86096675939939,26097.02904810129,25511.4576171875,24925.886186273714,46.55396372825749,328.3031529017857,89.64980541890577,0.9958934492830006
2026-02-16,25423.599609375,25697.0,25372.69921875,25682.75,275800,25510.87763671875,25789.2271484375,25671.1881098069,25667.945640843973,60.56869122413293,3.2424689629260683,-33.38055494123855,36.62302390416462,26095.70885850624,25510.87763671875,24926.046414931257,64.69418499545357,329.0318080357143,83.3174982713851,0.6163679435033299
2026-02-17,25637.94921875,25764.400390625,25570.30078125,25725.400390625,344100,25517.87265625,25783.06015625,25679.52846070199,25672.20154823516,58.40787035407838,7.326912466829526,-25.23906145962494,32.56597392645446,26109.765927082517,25517.87265625,24925.979385417486,67.53084082904884,328.8461216517857,78.42145784472699,0.7776095455469932
2026-02-18,25752.650390625,25828.05078125,25645.150390625,25819.349609375,310200,25547.21513671875,25775.7181640625,25701.039406651682,25683.10140461589,58.73066971897318,17.938002035793033,-16.603648760541343,34.54165079633438,26137.725172535072,25547.21513671875,24956.70510090243,73.04232410547013,320.59974888392856,75.61817854841007,0.7089799556601833
2026-02-19,25873.349609375,25885.30078125,25388.75,25454.349609375,298200,25562.0576171875,25765.594140625,25663.087130147574,25666.15682719064,52.611213256330245,-3.069697043065389,-13.896858417046154,10.827161373980765,26125.63176030413,25562.0576171875,24998.48347407087,40.44420249509124,341.40694754464283,66.79021316234329,0.6892247954513937
